,dummy,t_reg,day_reg,tday_reg
math.CO,0.6297249043806412,0.6332342323391328,0.4658073678644489,0.4681122218273325
math.CT,1.4974675876221757,1.4961295193736468,1.3881738104203252,1.3889286955211555
math.CV,0.8564071596821411,0.8746511776586376,0.8219721904418642,0.835363848292001
math.DG,0.6219001212221515,0.6237133444140043,0.53570410426887,0.539859147569511
math.DS,0.6211350476018385,0.6186842195615924,0.5631883636312591,0.5526698617667731
math.FA,0.7795152139070499,0.7803357789933941,0.6912815402123179,0.6913348103299
math.GM,1.6306226637176058,1.624739670344587,1.6279453484336381,1.622738424348773
math.GN,1.7749808699783114,1.7292192191867286,1.7738168079696206,1.7286750402156332
math.GR,0.894180614291038,0.8781639298343228,0.7963261159215891,0.7789161357724145
math.GT,0.6299857144403911,0.6315526750511704,0.6072195094284739,0.6091159675686671
math.HO,2.282625377969953,2.4402669173561633,2.2935394413711094,2.4561872272548464
math.IT,0.8137118079905139,0.852133841227642,0.688094444634623,0.7425222985533056
math.KT,1.3972474990709847,1.4061393343517892,1.3466186873206294,1.3533858133112953
math.LO,1.1837830860999061,1.1707611935444362,0.9914388250506816,0.9759565982522354
math.MG,1.1976524188348878,1.1924424031902807,1.0993479785295523,1.094314779878834
math.MP,0.486349929721433,0.4970837863876364,0.4453187810760604,0.4537185896160362
math.NA,1.0536354994280808,1.0502497328661557,0.7842989718077359,0.782861196593955
math.NT,0.6889700118045121,0.6779100987230289,0.6023216117162712,0.5884586055471814
math.OA,0.8071412089165122,0.7971187106916915,0.778755273656537,0.7677624849600162
math.OC,0.9760031114787355,1.0222887081357825,0.7056190338783874,0.7777926813238235
math.PR,0.6537074014982183,0.7257604555929701,0.556922218992923,0.6461976209367634
math.QA,0.8467575249441762,0.8390134730176555,0.8157567911533008,0.8072316348174998
math.RA,0.9808713944307595,0.9758081570618934,0.8434351162235232,0.8383100416151633
math.RT,0.7275039427344278,0.7296925712421649,0.6336561787797717,0.6363374405805486
math.SG,1.1514237366468205,1.1488508684124126,1.096318215333016,1.0958395530181446
math.SP,1.310474678679787,1.3187033329513511,1.2195230553462082,1.230019457734141
math.ST,0.9091672286276122,0.9295753876733415,0.8589952393540198,0.8810883856373006
nlin.AO,1.1388248745642853,1.1683884441572712,1.1533711000603284,1.1794894127260394
nlin.CD,0.7492388100919904,0.75257155413521,0.7553611623363092,0.7552668227058082
nlin.CG,2.1375420582842257,2.275188029542264,2.1147145826286873,2.2505594826209894
nlin.PS,0.9535755393963906,0.9568071773238629,0.9702171143277581,0.9709830081470425
nlin.SI,1.0717266644073824,1.0763402980831485,1.06711257877807,1.076301265309244
nucl-ex,0.6173567228350254,0.6229471058167076,0.5833255985107625,0.5888340335574014
nucl-th,0.5262672662648147,0.5215472054617099,0.45537276942028587,0.45066406002756665
physics.acc-ph,1.2526509355533444,1.249640106576912,1.17586395118447,1.1725413740554766
physics.ao-ph,1.8889636391795688,2.0517441160788454,1.818243651477228,1.9806202432398408
physics.app-ph,1.3135735038344998,1.3002982346652414,1.2239278264994782,1.209192888017747
physics.atm-clus,1.4529350425348564,1.4421441323933766,1.5001124929637324,1.486752206872389
physics.atom-ph,0.8835003954855914,0.879138496842788,0.8346661119379097,0.8301360232554568
physics.bio-ph,0.9523652394599333,0.9595102414428675,0.9099903842218546,0.9160069919001986
physics.chem-ph,1.1058156012855418,1.1521448101157035,0.8932322096784036,0.9389641379749284
physics.class-ph,0.9230927860113479,0.9190728645076481,0.93538142691634,0.9304423511327339
physics.comp-ph,1.224410612272273,1.2863124229393486,1.1391418440315164,1.2075217739395936
physics.data-an,0.9336725236921237,0.9354818368919843,0.9344950273821252,0.9366457560431737
physics.ed-ph,2.0432301418786865,2.053147887617824,2.047947001215951,2.0585089929222344
physics.flu-dyn,0.903204449513325,0.8843767065549951,0.8130127733116032,0.7901854318518221
physics.gen-ph,0.7399834688771537,0.7569224410188643,0.7353135837566391,0.7535718620272481
physics.geo-ph,1.5672005483020623,1.56866834893786,1.4789910348051614,1.482189232525477
physics.hist-ph,1.5319611868984437,1.5813806642322608,1.5081411919578207,1.561612698474772
physics.ins-det,0.9411716353214155,0.9784398965343668,0.9170977312569041,0.9583091614049123
physics.med-ph,1.6812796197799043,1.7522281860227524,1.548711246040761,1.6290044281623144
physics.optics,0.7810089907844137,0.8054001712443,0.6632401473670213,0.6849712672550083
physics.plasm-ph,1.0354167514667347,1.0173279558585704,1.0043417846178089,0.9819377710918301
physics.pop-ph,2.2723624467570254,2.293471067019908,2.3121549792864773,2.334096669486966
physics.soc-ph,0.735832057820343,0.7444388996684637,0.6904614166939721,0.7004736717572502
physics.space-ph,1.5887438554922864,1.576595159943063,1.5408549725851175,1.5280280467707177
q-bio.BM,1.650316933278764,1.620225778764144,1.438493320122335,1.4041743228783343
q-bio.CB,2.2043390448893176,2.2192063299681846,2.274854913288953,2.291649639611937
q-bio.GN,2.0031455761768573,2.048764019326108,2.046633263002256,2.084450551155036
q-bio.MN,1.4251167461959575,1.423233485382261,1.413850618086507,1.4116578271254847
q-bio.NC,1.5774671262862574,1.5669361840827836,1.4527110105145782,1.4433150404760284
q-bio.OT,3.137431006343162,3.1792482254216994,3.1774658853470097,3.2133167496470416
q-bio.PE,0.950891317838923,0.9671038758580738,0.9796256396613969,0.9942929047271537
q-bio.QM,1.5486105438773803,1.5365498556028436,1.3930654022310385,1.380103784842478
q-bio.SC,1.538508255011127,1.6056297517936877,1.5449225245906675,1.6116766623617882
q-bio.TO,2.8909227172678227,2.8603088434545856,2.8919191106506745,2.859588975711914
q-fin.CP,2.9976788966460144,3.0038939167406937,2.9646628877041925,2.957293265322392
q-fin.EC,2.504997964032045,2.6940155269309622,2.453952723292752,2.653227217388727
q-fin.GN,1.7354422452957723,1.7196823427390089,1.7576222030421544,1.7419176837974362
q-fin.MF,2.5460586233794213,2.6131616792840795,2.5673656123103004,2.6347201711914017
q-fin.PM,2.571458148238325,2.617427667831348,2.550393316974009,2.5947661408160805
q-fin.PR,1.8882296001415895,1.904682952252991,1.8774908021973225,1.8988126347997638
q-fin.RM,2.3352590058338456,2.408542462198639,2.232797411207304,2.2947098636013767
q-fin.ST,1.7779228450393079,1.7355127518018223,1.8243117236878457,1.7671684474726557
q-fin.TR,3.021215413592777,3.1237580922926944,3.108195760696041,3.206463581571689
quant-ph,0.6207890366169566,0.6106303805557022,0.503956822268499,0.49028391672177035
stat.AP,1.0019262434832157,1.022960366089754,0.9631611963180025,0.989091235508474
stat.CO,1.3501806612737228,1.3433538096460902,1.3183943397500582,1.3070185636415883
stat.ME,1.2743536701390332,1.2844704737607553,0.997008846526725,1.0152985141699102
stat.ML,1.0409514498176209,1.1036636017802823,0.7756554592486381,0.8591738357168826
stat.OT,3.075093350363515,3.054447331254054,3.0844616854910383,3.0670744441770297
stat.TH,0.9144571119781035,0.9350862109462897,0.8626086004681683,0.8849579976317591
