,dummy,t_reg,day_reg,mday_reg,tday_reg,gbrt,prophet,prophet_full
cs.CR,1.6448189211700537,1.6673274405525726,1.2679300992191331,1.3677715607582595,1.2994146968651175,4.48097595102329,4.616165442901671,1.4729768631525315
cs.CV,2.1755669195699365,2.1490175679721055,1.6991998816619391,1.853969661237982,1.657573857216269,4.852124480298912,3.896293698266719,1.898879405788473
cs.CY,2.07935304801585,2.2373908369359,1.7022390368874905,1.7110940042361866,1.8999224253351197,4.987001933756747,5.644030725082098,2.0323621831593552
cs.DB,1.6753982086474581,1.7247268144876329,1.5023087662095977,1.687803083516111,1.5683185974055431,3.3622325387769783,3.6145946693816664,1.5976922472091755
cs.DC,1.371062077190535,1.4159882999394893,1.0653527768988529,1.0878456336441273,1.1243925468369098,3.176056396030959,3.3801311752425782,1.246931393442434
cs.DL,2.107882659569635,2.1438045793859697,2.1565779166071306,2.1483286643228556,2.1996993515552026,2.829663788135713,2.7813895808142712,2.1373160415101884
cs.DM,1.031902520052414,1.0651434802810993,1.000853095563298,1.0119014514440112,1.035909468129995,2.1441132618902947,2.1051340730999346,0.9693247885071155
cs.DS,1.1088537913014878,1.0710013886273706,1.0167054936534359,0.9696532320169992,0.975643977848846,2.308727254250422,2.09787901131273,0.9389960330122729
cs.ET,2.657388572622828,2.6896407666618707,2.5234323632582933,2.5897385900166463,2.5463427948853705,6.58973041332441,5.597784763902453,2.7563315365781555
cs.FL,1.5451125057114696,1.5824543751695994,1.592682573263849,1.6283313069391157,1.6293048515531012,2.274701749397688,2.251345127711095,1.4365980291977187
cs.GL,3.2371469505616584,3.382569357888017,3.3593315712608605,3.3677573778581555,3.4550805633768693,0.1845978202483207,0.6922115608263516,3.9244273747178378
cs.GR,3.400922251417282,3.3571858004003623,3.2781484761535755,3.4619194622921445,3.235726203777756,4.93447055588647,5.250720198971257,3.2428856175063965
cs.GT,1.9104331864088149,1.9822772069873262,1.7427173120358075,1.7521765589137157,1.8245270858502143,3.38603264390187,3.9022661203848945,1.675212727564979
cs.HC,2.660106258864718,2.5881453900000104,2.231962675477671,2.519124467594352,2.157891620087816,6.340538300374537,6.676278323050745,2.5169419405883446
cs.IR,1.9233240180999702,1.9151123624875714,1.6391930176903993,1.6788623495405772,1.6311506586935915,4.818977098751531,4.393998069330234,1.8492342125099728
cs.IT,0.8100398848831573,0.8453952640827687,0.689319059846487,0.7231334283620754,0.741093519171019,1.6914572394859906,2.099782217686569,0.6609804216686257
cs.LG,1.6916501195810962,1.827232590427848,1.3311285026429576,1.3492276338755078,1.5002441903494186,5.00850666483869,5.430972451277588,1.4529805206496393
cs.LO,1.5151762929780637,1.5804624523970947,1.4891741738970208,1.4722845424820872,1.5596117931411768,2.1055948253311048,2.4799442902823543,1.4363163682932885
cs.MA,2.7962193363094228,3.094075536161666,2.609783877387906,2.5733204062920225,2.932608914503023,4.468212187683989,5.295411694733558,2.668910614724292
cs.MM,2.751466848489566,2.918829284982759,2.6521088192563798,2.7473646713080204,2.807250748643561,4.96253440683182,3.386880322965595,2.5951690701503503
cs.MS,2.103576339094812,2.120069409820027,2.1742563724823274,2.1638031985881354,2.1863646018543585,1.9016733617689998,1.3664955167562969,2.117934503421684
cs.NA,1.5682803523992657,1.5630076955308163,1.160686324074117,1.2452872993853972,1.1581302552503239,4.3150485832249,4.172244760781448,1.425965099677569
cs.NE,1.2401036460709849,1.257991378576314,0.9851188323971549,1.0972061935237956,0.997617699887766,2.6133801170666766,2.6122850252717256,1.1002287586971613
cs.NI,1.138957797568763,1.1656351655985562,0.8885277856611492,0.9057767693381953,0.926467093012157,2.6786611775815325,2.8155168104505117,1.0007257423199087
cs.OH,1.1403915688100146,1.142271618230279,1.102538852751547,1.10172838495337,1.1048192761156108,0.3766346728457901,0.5471722948479409,1.1493257420474157
cs.OS,5.314920259875587,5.506669193102851,5.442392124102938,5.669003828686251,5.643284379538695,5.197678948321484,4.4193092331576525,5.554360579886681
cs.PF,2.0979018271873366,2.24972500994055,2.089394853995104,2.2332394181807596,2.2496109986837567,3.3191182962161108,3.449498150054044,2.1118192369486377
cs.PL,1.937896963643281,1.9304593496167068,1.9336250367979542,2.1501878618046795,1.9272832583841382,2.5275708036123876,2.632616321464192,1.8584204376623383
cs.RO,2.651978708635522,2.511000767853647,2.3956656539490613,2.240890248846796,2.2539078638353827,5.6009037774604495,3.6857501842024307,2.3710370159749954
cs.SC,2.677194866867722,2.7380692761033254,2.6741128633015845,2.617924713083592,2.737206081021932,2.14019612605074,2.9494669539882143,2.638707516885882
cs.SD,1.7592332989243196,2.388260891009404,1.5465252968428005,1.165385417093354,2.2015336364918987,4.046703840008566,3.4885126347362565,1.5086493080885726
cs.SE,2.0629078602924866,2.0645061551238073,1.9659346794569013,2.0983535713849744,1.9825957251728499,4.965940003090128,5.2331735281887095,2.003474147426748
cs.SI,1.184609080699707,1.2167889680099688,1.0471666700137616,1.0738560572686575,1.0850647218325962,2.4813584589680815,2.4710158872762373,1.0843062102470729
cs.SY,1.3616890223008387,1.3322639780023462,1.1233706018527945,1.3238433195376458,1.0934984310466387,4.153648389835815,3.844585566566936,1.1999013295177585
econ.EM,2.67038459221285,2.6818759440707374,2.3363019058873746,2.3635770693959968,2.3499780074536805,4.619441503194225,4.808447373503769,2.584001177649036
econ.GN,2.793269511004923,3.0040389419868823,2.736350057701467,2.799803825286321,2.9585567727054465,5.74425537663771,5.923554671400818,2.7037371098217307
econ.TH,4.457933340395317,4.6449869111059865,4.244371080933286,4.339284572554575,4.44196767999902,5.69279652268353,6.637446135895745,4.273292012812962
eess.AS,2.206029806067726,3.007561629575011,1.9277731859317058,1.5529159379717834,2.782832918919027,4.289482631373016,3.5985233176417477,1.9589707023897105
eess.IV,1.7334995236676563,1.7469075190466574,1.5230069016470957,1.5604924470398387,1.5321631840579384,3.869498114474413,3.668363417864891,1.5324221253306811
eess.SP,1.728101317203073,1.732772226159499,1.2876795534193826,1.4112485893547726,1.3049391607030474,4.26393082346676,4.388103838699423,1.5989449341597244
eess.SY,1.7470047478955562,1.706316656791965,1.4390313479491692,1.6933062596147561,1.3969038797315094,5.357518686037273,4.885081267434324,1.59695441175738
gr-qc,0.4714535191744174,0.4598428055557723,0.43113427647679375,0.508134814644977,0.41788349582840345,1.5803925536795234,1.608896780780659,0.40619364770154176
hep-ex,0.6195254253494694,0.642602511038353,0.578359727142562,0.6149144138307074,0.6034299904237975,1.5410606666121598,1.608125393501018,0.5834616558397637
hep-lat,1.2275162192094171,1.4488768168783677,1.1736405135238734,1.2993057135647113,1.4091507699718,1.6878903533223326,2.265597528172495,1.1969101707311292
hep-ph,0.41236559311022025,0.4073186081826292,0.36193507928518004,0.47305567205678234,0.35620314961700617,1.187548018796558,1.279599162557874,0.33302059227647646
hep-th,0.4302716736575987,0.4193705620755493,0.4051885718385609,0.47990157120676374,0.3922564330914278,1.2197965192287508,1.228929178442568,0.3622297939546564
math-ph,0.48785965556423744,0.4982426737083051,0.4468740495595585,0.5059213662847226,0.45488889664942456,1.4960636887963623,1.4996586690492018,0.41958002941507916
math.AC,0.8026721486739699,0.8279308242720084,0.7600133377617416,0.7875726773035151,0.7888519238217915,1.5335888673454494,1.6888214991092663,0.7256144072456195
math.AG,0.5845548813030496,0.6013307611060748,0.4868823220158992,0.543576286170647,0.5068378781542344,1.6496523363703197,1.6654482785755282,0.49848998619342416
math.AP,0.6829343176266665,0.6839267925544689,0.5232405678988528,0.5802066777711959,0.5289072847147588,2.2624974232350863,2.2541446711887176,0.5741950457596552
math.AT,0.7803559775676489,0.7819644235311307,0.7501885047834346,0.7494282004377562,0.7482228950302247,1.510429413325699,1.4475597819756103,0.7606818688770458
math.CA,0.9190704026308082,0.9286102799742468,0.8415317087474372,0.9527651512452571,0.8557704015822531,1.6994942346456265,1.888223471883854,0.8696781549349304
math.CO,0.62968068860381,0.6331130253891112,0.4662577260516848,0.4771446575863603,0.46850441569396245,2.1939820519780975,2.068644469747325,0.5118665402219643
math.CT,1.4974675876221757,1.4961295193736468,1.3881738104203252,1.4319320837960865,1.3889286955211555,2.052511154036163,2.0033291336227723,1.445100295596718
math.CV,0.8565550030173377,0.8748021704963046,0.8221140891972634,0.8406997279272588,0.8355080588769288,1.6224512781783054,1.4221833212459358,0.8129014862724343
math.DG,0.6219149576875767,0.6237282241368951,0.5357168843844382,0.5360083230947056,0.5398720268105724,1.528611606911228,1.62965658129826,0.5549824465183467
math.DS,0.6211350476018385,0.6186842195615924,0.5631883636312591,0.5508807085886464,0.5526698617667731,1.8122069215474956,1.7237882412183199,0.5664557313084858
math.FA,0.7795152139070499,0.7803357789933941,0.6912815402123179,0.7085140771318781,0.6913348103299,1.8071850797274978,1.7686850154238378,0.6925000489532148
